Genes	H3K4me2_S52267	H3K4me2_S52221
Wdfy4	51	25
Gm10376	34	14
100039246	39	15
E230016K23Rik	34	9
Col4a6	18	6
Igfbp6	64	23
Ssbp1	275	103
Pcdh9	20	9
Gm14718	20	4
Sh2d4a	83	39
Mrpl33	487	184
Cyp3a41b	32	5
Serpina16	21	9
Rpe65	32	5
Cpped1	422	201
Lamp3	14	8
Atp6v1b1	55	18
Ankrd1	24	15
Aqp4	15	4
Gm13749	25	8
Gm32229	232	155
Ribc2	22	15
Pex5l	30	9
Mmp11	395	196
Gm33354	31	7
Olfr722	10	2
Zfp729b	501	205
Tmem108	388	218
Spink4	41	12
Psd3	20	6
Pramel51	23	2
9430019J16Rik	12	7
Btrc	497	199
Mpped1	22	9
Olfr1408	13	1
Lrp4	295	147
Nr3c2	161	61
A830036E02Rik	27	10
Gm48908	28	16
Snrk	393	209
Pdzrn4	10	10
Gm20756	4	1
Gal	77	50
Rhox10	17	5
Spaca5	16	7
Ndufs6	389	161
Cdh26	30	12
Mybpc2	67	35
Drd3	24	9
Ptger3	282	145
Dnah8	220	98
Il2ra	126	71
Plg	23	19
Nxph3	218	127
Mzf1	469	206
Pthlh	37	19
Gm29007	14	7
Ccnb2	419	224
Slc17a7	283	133
Obox2	32	10
Serpinb3d	14	5
Myh14	77	15
Efna5	370	220
Aspn	13	3
Iqcm	17	7
Tc2n	287	168
Osmr	113	48
Ncan	59	32
Glp1r	386	213
Krt33b	34	14
2610002M06Rik	144	70
Serpina3j	37	14
Lrrk2	165	63
Thegl	230	156
Bnc1	230	108
Dmpk	90	22
Gm10505	145	68
Oscar	231	98
Olfr27	11	3
Cmpk1	393	173
Ercc6l2	440	195
Fhl2	33	9
Nlrp10	37	22
Ythdc2	411	178
Glyctk	131	92
Prmt3	448	203
Gm44501	12	3
Pramel14	25	4
Jam3	54	44
Ms4a4c	380	160
Tbc1d21	28	9
Kptn	244	123
Gm7072	318	154
Slc7a4	317	149
A930003O13Rik	231	118
Lrp2	45	17
Samsn1	280	77
Las1l	436	151
Zfp957	100	63
Defb39	19	7
2310065F04Rik	25	9
Dcst1	40	21
Rem1	48	27
Vmn1r249	15	13
Myct1	18	1
Gm11634	40	5
Sult1c1	22	4
Gm5166	29	16
Slc15a2	19	9
Il1rapl2	24	3
Pcdha10	13	13
Vmn2r14	17	2
Tlr8	14	6
1600027J07Rik	18	4
Nps	34	12
Klhl40	35	16
Zfp605	398	190
Clec2h	25	6
Tac2	64	12
Rgs21	15	4
Gm13267	323	154
Cntn4	20	11
5031410I06Rik	44	25
Arhgef16	97	53
4930505A04Rik	24	9
Zmynd15	171	100
C130050O18Rik	69	23
Gm29483	29	6
Arhgap24	364	205
Gm36598	39	13
Gm15486	16	5
Smok2a	57	25
Wbp2nl	28	12
Adcy8	34	11
Prelp	40	5
Rhox2c	24	9
Dsg4	8	7
Inha	109	55
Manea	353	158
Gm20268	17	4
Tafa1	19	5
Mc5r	125	51
Tmem128	374	183
Eln	49	10
4930505G20Rik	17	7
Hyls1	479	200
Agxt2	14	10
Mpz	368	174
1700095A21Rik	74	17
Ccdc175	15	6
Polr1f	329	135
Tmprss5	26	13
Zbtb6	432	200
Esp3	11	11
Dlg3	315	169
Akt3	13	10
9330111N05Rik	100	44
Skint4	15	2
Col24a1	24	8
Cyp2j5	15	4
Gucy2c	33	8
Rec8	139	86
Gm32688	54	13
Tbc1d8b	296	141
Gm5141	431	196
1700001G01Rik	22	14
4933402J07Rik	32	12
4930443O20Rik	19	9
Serpina11	30	11
Sgca	86	28
Gm14326	342	168
Rgs13	10	5
Gm19461	37	24
Gm38462	75	27
Ano5	20	9
Pyroxd2	34	8
Ndc1	475	192
Tbx19	21	16
L3mbtl1	268	137
Rhox3a	27	9
1700025C18Rik	59	22
Bpifb3	34	19
Slc25a15	458	204
Acat1	427	182
Elf5	51	11
Casp8ap2	421	164
Pcdhgb1	24	15
Vill	91	34
Pik3c2g	34	6
Etnppl	41	9
Fbxw16	33	10
Dnah7a	177	87
Eif3e	251	115
Map3k7cl	25	15
Tmem178	50	14
Tnfsf15	47	15
Slc39a10	22	5
Limch1	19	6
4930532I03Rik	26	7
Olfr376	24	6
Gba	354	138
Phf11b	416	222
Klhl13	12	6
Hsd3b8	22	6
Twist2	61	47
Pilrb1	66	25
Lztfl1	393	158
Gm38545	54	26
1700016K19Rik	347	161
Acaca	31	5
H2-Eb1	72	28
Zfp488	29	17
Matn4	58	13
Noto	49	13
Ush2a	17	6
4930556N09Rik	29	13
Hdhd2	390	151
4930529K09Rik	25	6
Rbp4	44	20
4930583P06Rik	18	9
Etaa1	251	102
Atl3	362	197
Cstl1	53	23
Actc1	41	9
Smn1	472	221
Mcm9	281	91
Ninj2	41	16
Rbm46os	20	11
Metap1	453	175
Heatr6	365	177
Rnf111	357	166
Kpna3	369	220
Plch2	90	39
Gm36069	32	5
Zfp366	34	15
Wfdc21	45	9
Gm30092	23	7
Gm20858	0	0
Trim36	137	72
Gckr	154	64
Tex12	17	10
Gm42788	37	17
4930434J06Rik	21	7
Ugt2b38	11	5
Glrb	29	9
Insm2	120	68
Gfpt2	370	205
Erlec1	441	213
Krt79	49	15
Gm30694	53	14
Gm35396	31	17
Gm4961	23	10
Edn2	44	16
A530064D06Rik	44	21
Pkd2l1	28	20
Cutc	356	153
Cd244a	117	57
Gm12169	27	10
Chrna9	105	49
Rslcan18	31	8
Bpifc	32	11
Tlk2	398	196
Gm5155	19	7
Opalin	35	13
Oc90	25	8
Ecrg4	34	20
Whamm	479	201
Tlcd5	178	106
Olfr192	13	2
Klrb1f	71	23
Slc40a1	36	16
Ttc23	156	65
Ddx19b	158	64
Akr1d1	34	10
Ttll10	56	13
Gad2	332	154
6330409D20Rik	63	27
Gm7827	55	23
Krt9	44	13
Wdr7	438	205
Haus3	331	136
Pcdha7	17	9
Ube2cbp	227	118
Srp54b	536	195
Hoxc13	54	34
Ndufb3	517	199
Gm28178	200	82
Mrgpre	429	233
Tm4sf5	45	15
Sgcb	439	215
Lcat	73	25
Serpina3m	45	8
Acan	54	22
AY512915	19	10
Gm12873	27	12
1700027I24Rik	28	5
Pde6c	35	10
Gm38409	27	7
Gm34746	112	41
Poc1a	510	195
Parp6	428	195
Tent5d	14	6
Btnl2	82	51
Rho	40	21
Sprr2a2	32	15
Gm17660	52	16
Phf24	128	61
Slc18b1	100	37
Lrrtm1	36	15
Nsun3	441	212
Cd300ld4	40	17
Slc5a10	39	19
Gm20765	15	3
Coq3	358	158
Gm26633	64	19
Vwa3a	25	17
Itgb8	107	31
Nes	306	200
Trpc7	9	8
Chn1os3	39	22
Rwdd3	370	171
E330012B07Rik	21	6
Gm15446	15	8
Slc26a10	312	167
AU015836	26	10
Lsmem1	249	121
Sec14l3	38	12
Olfr860	11	1
Prl3d1	8	1
Gm6416	27	8
Gm26688	249	129
Cep295nl	141	53
Cdh11	20	5
Immt	371	169
Mkrn1	420	191
Rab11b	495	217
Amacr	401	171
Ank1	192	100
Entpd4	231	139
Gm7980	32	10
Kazn	15	12
Entpd2	155	86
Phip	452	162
Cldn2	21	14
Ebf1	115	64
Lin7a	22	10
Obi1	355	135
Gm1322	12	6
Gm29682	37	21
Stard13	70	34
Zfp994	279	134
Cldn34c4	5	6
Kcna4	25	12
Rbm12b1	392	205
Dsg1b	18	5
Adar	413	237
Rrn3	448	224
Epdr1	38	15
5730409E04Rik	219	146
9530091C08Rik	38	9
Tbx20	17	3
4930519F24Rik	12	1
Serpinb7	4	4
Esp15	13	3
Pla2g2e	57	14
Asb17	34	10
Usp8	419	185
3830406C13Rik	317	195
Trip6	82	28
4930563M21Rik	41	9
BC049715	426	190
Sgo2b	20	6
Pcdhb18	18	7
Prss56	211	121
Rftn2	80	18
5730435O14Rik	35	9
Synpo2	26	10
1810019N24Rik	420	220
Trappc2	288	157
4930548G14Rik	17	9
Klra6	17	2
Cryzl2	242	116
Myl1	11	3
Espn	383	180
Gpr50	22	14
Gpr139	30	8
A630075F10Rik	20	11
Tmprss11c	9	3
Atp2c1	37	13
Tmem183a	485	187
Gm52885	21	5
Gm31064	54	23
Nalf1	33	9
A430018G15Rik	434	178
Nup155	478	225
Efcab7	362	163
Gm53173	21	9
4930505K14Rik	42	22
Cyp2d11	43	25
Slc30a10	51	14
4931419H13Rik	46	14
4930483K19Rik	40	14
Crtac1	147	75
Slc5a1	39	10
Lrrc72	30	9
Cr1l	400	144
Pla2g2a	40	13
Stxbp5l	25	10
Cc2d2a	41	17
105242419	30	8
Olfr119	15	6
Capza2	360	142
2410124H12Rik	46	9
Ccdc24	77	31
Cplane1	413	223
Nutm1	39	29
Cts8-ps	14	4
Kcnh7	35	5
Cldn11	71	20
Fbln2	56	19
Ercc6	441	174
Ccdc149	68	43
Gm17359	40	8
Gmeb2	473	191
Zfp804a	12	7
Lrrfip1	343	165
Vmn2r30	12	0
Fhip1a	22	2
Gm46666	25	11
Slc1a2	18	8
2310039L15Rik	41	13
1700012A03Rik	49	10
Haus7	319	117
Ece2	57	38
4933436H12Rik	19	8
Cnih4	275	118
Tsix	12	8
Gm10220	52	24
4930447N08Rik	40	8
Tmc4	56	32
Fbxo47	258	92
Spib	154	90
Calca	69	30
Mmadhc	536	198
Gm29968	37	5
1700007F19Rik	19	9
4930482G09Rik	16	4
Lcn5	53	19
Dna2	365	158
Ints2	439	199
Atxn3	384	171
Oma1	372	139
Gm21783	0	0
1700019J19Rik	228	133
Six3	48	19
Tenm4	24	5
Eola1	346	163
Tex11	24	12
Tmem248	347	166
Krt80	57	21
Pcsk4	463	200
Pola1	252	95
Vmn2r96	10	6
Klra1	61	25
Gramd1c	31	5
Slc6a14	22	9
Tlr3	93	36
Myoz3	60	22
Plppr1	20	8
Eif1ad2	15	8
9130008F23Rik	79	43
Amotl2	50	27
Cyp4a31	27	16
Aadacl2fm2	10	7
Ccl19-ps2	113	74
Abca9	19	10
Hoxc5	60	17
Bicra	104	54
Gm28286	137	67
Rhox3g	35	11
Chn2	377	207
Pate9	21	7
Cep41	492	190
B430010I23Rik	43	18
Ms4a18	30	20
Mast2	423	204
Insc	30	19
Spp2	35	9
Nkrf	372	150
Gm20757	9	7
Cpb1	16	13
Dupd1	53	11
Gm30381	47	11
Trpc3	387	175
4933434P08Rik	20	10
Gpr158	27	7
Gpr17	27	14
1700041A01Rik	18	5
Spesp1	30	12
Hsd17b13	66	24
Nxph2	18	11
Fcgrt	101	44
Wdr45	390	140
Tprg	21	8
Psmd4	528	192
Churc1	363	201
Cp	18	7
Gm40602	55	26
Gm21190	171	60
Edn3	28	17
Bspry	365	160
Ocrl	184	72
Lmbrd2	394	235
Dnah11	233	89
Plxna2	55	22
Ceacam11	29	19
Car3	32	14
Olfr69	17	9
Pih1d1	415	156
Agmo	21	6
D6Ertd474e	14	18
Rnls	312	173
Hs3st6	443	199
Lamc2	94	26
Klk1b26	36	12
Gm3012	19	7
Psma3	503	194
Uaca	197	119
Nlrp9c	19	10
Ccdc183	151	69
Gm8765	23	9
Fbxw27	24	12
Cog7	411	187
Mterf2	479	213
Ssh3	449	231
Rala	360	194
Gm26641	353	198
Dusp18	342	206
Rnf43	178	98
Spink8	68	11
Mypn	33	7
2410003L11Rik	39	18
Pramel27	28	8
Olfr75-ps1	15	4
F2	57	17
Fbxo36	472	178
Fam135a	365	191
Ott	22	7
Lipo2	92	43
Zfp68	313	123
Krt15	24	12
Tdrd6	35	10
6430553K19Rik	22	3
Kif26a	352	204
Alppl2	27	14
Myh2	21	5
Lingo4	116	76
Zmiz2	80	35
Plek	33	13
A530065N20Rik	29	7
Olfr46	18	4
Dysf	56	14
4931413K12Rik	95	39
Sdhaf4	243	118
Exd1	490	197
Sohlh1	37	28
Rab17	64	20
Mgat4e	35	13
Gm46851	22	5
Adprhl1	41	17
Msh2	467	227
Alox8	326	139
B230214G05Rik	23	10
Lama1	20	7
Cd300ld5	40	17
Cntn6	7	7
Pinlyp	474	201
4930525G20Rik	249	95
Izumo1	40	27
Bmp15	14	6
Tmem62	462	190
Ces1f	27	6
Shc2	59	35
Elp6	454	194
Esyt3	50	33
Pcdhga3	28	9
Hoxa6	141	80
Otp	22	11
Gm15471	385	189
Bbs7	292	147
Plekhg4	72	30
Pcdha6	18	3
4930428D20Rik	32	3
Mrpl15	343	151
Heatr9	29	6
Ypel4	104	42
Adamts8	53	34
Gm36406	22	5
Ralgps1	487	213
D330050G23Rik	49	19
Adamtsl2	265	132
2310005E17Rik	38	9
Lincmd1	27	8
Slitrk6	12	1
Gm27151	24	5
Mmp9	246	149
Acp7	36	28
Ppp2r2b	14	6
Usf1	494	215
Nkx2-1	24	16
Gm17025	45	9
Psma6	59	22
Serpinb3b	14	4
Myo1d	293	145
Tbc1d9	54	39
Sh3bgr	32	16
Gm5458	17	11
Spns3	266	156
Krt5	25	9
Gm6093	20	5
Gm11545	32	12
4930447A16Rik	34	4
Lgals3	110	43
Cenpj	507	191
Abcb7	174	85
Ddr2	25	5
Gcnt2	20	15
4930463O16Rik	35	11
Spaar	63	20
Eif3h	441	164
Kcnj14	82	32
Gm34235	17	15
9030204H09Rik	39	14
Slc22a28	14	7
C630028M04Rik	14	5
Rab31	452	216
Ano1	50	22
Gm136	37	12
Otogl	22	3
Ovol2	289	163
Gm5947	14	3
Lrrc74a	42	24
Chrm3	23	11
Hapln1	96	39
Rimkla	264	179
Gm40617	170	78
Akap11	453	169
Mlxipl	50	10
Slc7a12	24	9
Pla2g2f	43	15
Gm20877	0	0
Cacng5	52	23
Stk36	392	179
Cenpu	350	168
Gm9999	50	9
E030011O05Rik	61	25
Ms4a19	37	6
Chd2	438	163
Il1b	46	16
Morc1	21	6
Alx3	95	47
Thrsp	47	19
Lgi4	73	21
Npffr1	57	26
Trim10	27	17
Zranb2	441	192
Nostrin	112	46
4930474G06Rik	16	6
Gm29729	11	5
Vldlr	93	55
Eea1	458	225
Magea14	36	13
Nckap1l	469	171
Mmp8	27	10
4921504E06Rik	381	175
Pcdhgb5	82	40
Gm20356	14	4
Zfp663	47	20
Plekha6	41	23
9430069I07Rik	19	8
Dpy19l4	470	223
Lmod3	28	8
Ghitm	423	184
Muc16	24	13
Rgs16	286	125
Tek	14	6
Dlc1	21	7
Ube2ql1	224	133
Vwde	8	12
Gm15343	46	13
Alg14	473	179
Lum	16	5
Pygo1	313	184
Nploc4	386	215
Eps8	210	127
Grip1os1	21	12
Vmn2r59	18	2
Gm35993	33	21
Gm36691	58	33
Ccna1	31	16
Tmx1	341	178
Nav1	355	197
Vmn2r111	17	5
Pdyn	41	16
Ccdc3	46	14
Allc	21	11
Unc45b	73	32
Mon2	482	202
Mrgpra6	15	7
Igfals	81	49
Krt7	47	11
Diaph2	301	129
2510003B16Rik	362	154
Serpinb9f	21	3
Gjb2	196	99
F12	57	25
4930470P17Rik	27	9
Prol1	14	8
Unc93a2	60	21
Gm8126	15	8
Tmprss11f	20	7
Igdcc4	119	58
C330004P14Rik	20	5
Dkk3	62	29
Tecta	37	7
Gpr20	64	25
Snx11	517	196
Grpr	55	18
Fcrl6	37	10
Anapc1	316	158
1700029H14Rik	53	19
Phf8	433	196
Peg3	57	35
Slc22a6	38	11
Rbbp8nl	57	21
Ntrk2	26	17
Prl2c1	11	5
100041504	14	5
Myoz1	43	14
Vtcn1	44	11
Fam133b	433	193
Mup9	24	16
Serpinb1a	55	22
Mymk	39	20
Cd22	62	20
Obox5	19	5
Gm41790	55	28
Ddc	33	7
Klk6	30	16
2310030A07Rik	17	2
Prdx4	182	112
Nlrp4e	24	7
Miga1	272	130
Ubxn2b	349	193
Crybb3	38	22
Trem3	22	16
Apoc2	35	22
Dnajc19	328	184
Dnajc1	453	221
Matn3	67	39
Vmn2r24	22	4
Zfp449	224	109
Ccl5	54	25
Ttr	23	14
Mcts1	203	95
Dhrs7c	25	13
Vmn2r33	14	8
Adgrv1	20	8
Dsg3	23	6
Slc16a12	36	13
Scnn1g	63	38
9230116N13Rik	203	85
Espnl	37	29
Ccr6	37	11
5430434I15Rik	19	8
Tmem235	145	67
Bloc1s2	473	199
Spag6	167	104
Grik3	35	8
Prl7b1	11	4
4933436E23Rik	13	12
Clcnkb	76	18
D930015M05Rik	48	26
Nat8f5	41	15
Gm32014	17	10
Gpr4	141	58
Dusp3	217	142
Ptx3	26	12
Gbx2	32	21
Adam26b	10	15
Zdbf2	12	6
4930546C10Rik	197	81
Crbn	405	200
Tsx	20	14
Gnl3l	284	152
Mansc1	394	263
Pcbd1	38	22
LOC100125594	16	7
Dlgap4	300	189
Gm10668	28	14
Nrg3	23	8
Hspb8	23	19
S1pr3	44	18
Vmn2r38	10	5
Cldn1	47	10
Tcl1b5	22	6
Mei1	44	20
Spata21	50	14
Lipo1	30	3
Cachd1	17	13
Prss55	33	12
Arrdc5	77	42
Gm21188	28	6
4933424M12Rik	82	28
4930441J16Rik	27	8
Nhej1	285	110
Josd2	359	196
Defb23	50	7
AU022754	51	25
Oas2	334	217
Tmem200a	45	29
Gm3728	10	1
Spock3	18	8
Hnf1a	50	14
Mageb5b	13	8
Gm20758	29	4
Pnpla1	39	17
Itga1	58	20
Fam149a	37	9
Rspo2	23	11
Prl7d1	9	6
9230019H11Rik	24	11
Gm1110	23	5
Dtd1	349	145
Copb1	335	179
Plau	352	162
Tnnt3	48	29
Hsf2bp	288	143
Crb2	42	16
Gm15328	34	8
Itln1	27	9
Zswim2	63	34
Kcne1	40	13
Adap2	419	230
Gm1965	32	12
Gm17745	123	42
Chil4	25	9
Tlr9	113	63
Gm4876	16	9
Ngp	54	22
Gprin2	309	155
Axdnd1	297	119
Scn3a	25	12
Rab3b	348	160
Ces2b	35	9
Cd40lg	83	18
Zfp708	19	15
Ndp	20	8
Adcy4	61	50
Olfr374	44	12
Ifi27l2b	37	7
Pkn2	430	194
A730056A06Rik	446	225
Prxl2a	445	221
Ppp1r2	353	158
Gm7932	79	39
Prkd1	31	11
Atp6v1g3	48	31
Tuba3b	102	44
Barx2	66	35
Fxr2	431	198
9430021M05Rik	34	15
Ext2	492	202
A330076C08Rik	47	11
Arap3	179	74
Tagap1	478	173
Gfral	12	10
Tnfaip2	64	42
4931408C20Rik	96	34
Hsd3b2	20	13
Eras	80	39
Sdsl	58	15
Gm40271	51	18
Spata31d1c	31	13
4930567K20Rik	17	3
Col19a1	17	4
Rasgrf2	42	22
Gm15723	19	8
Plaat5	50	22
Gm42262	13	10
Lipo3	162	74
Rhd	41	19
Foxn1	45	25
2010106E10Rik	22	2
Pramel26	18	7
Cdyl	20	17
Bfsp2	52	9
Mfap2	125	52
Cyp3a11	16	11
Klk1b16	28	7
Cyp2j13	23	10
Boc	342	180
1700028J19Rik	33	17
Spatc1	44	23
Gm20098	177	82
Supt16	360	203
Nat8f4	249	92
Ash1l	42	13
Csf2rb2	62	17
Lexm	232	77
Zfp534	30	10
Clec12b	34	5
Kcnq1	78	61
Slamf9	45	15
Gm10336	28	14
Pramel5	21	7
Cenpi	155	55
Prickle3	349	165
Gm30933	425	228
Gm19428	15	8
Atf7ip	475	199
Hgfac	228	142
Lipc	28	11
A330102I10Rik	34	16
Ablim3	289	139
Irak1bp1	349	238
Gm13043	18	6
Sox5	25	13
Emx1	42	23
1700097N02Rik	385	158
Gsg1	84	37
Arhgef28	240	142
Klk1b22	44	11
Vsig2	55	16
Wdr13	431	159
H2-M10.6	42	24
Olfr1437	18	16
Ush1g	87	51
Gm6498	159	67
Cyp4a12a	14	7
Abhd5	472	201
Megf8	448	218
Sftpd	22	9
E2f5	288	177
Gm15455	33	16
Pcdhb7	29	9
Gpr101	17	7
Far2	18	5
Zfp746	389	210
Oprd1	81	29
Cabp2	77	26
Lrrc4c	19	10
Opn1sw	52	8
Clec2m	30	15
Hmgcs2	87	22
Slc38a4	45	12
Yipf5	379	161
H2-M9	40	12
Tmcc3	35	27
Kpna7	38	10
Gm12974	365	153
Il6	20	19
Iho1	40	17
C5ar1	35	10
Tfap2d	9	6
Zfp820	156	61
3110009F21Rik	36	17
Etaa1os	245	94
Gm5431	184	109
Ly6f	36	9
Cyp19a1	25	11
Ren2	52	33
Ankfn1	35	14
Lyplal1	65	37
Porcn	182	72
Fgf10	18	8
4933422A05Rik	29	18
Ralgps2	444	210
Nme4	452	207
Nlrp1a	55	33
Nrip2	30	10
Lep	44	14
Eml2	149	77
Actg2	59	7
Oog2	30	5
Mmrn2	41	20
Slc5a9	28	21
Clca2	32	9
Rbms3	35	11
Myh4	23	10
Csrp1	122	57
Evc	27	12
Fam171b	230	111
Kdm4d	488	209
Rhot1	352	131
Sag	44	6
Sec1	91	38
Lyg2	26	12
Fam13c	30	14
Cplx3	56	29
Tubd1	483	218
Zfp773	380	180
Dcp2	446	176
Tsr2	237	94
Prss2	11	4
Noxa1	42	16
Col1a1	256	130
Gm19345	51	25
Tmem179	37	19
Gm12853	34	12
Asf1a	470	204
Gm14525	20	10
Entpd4b	231	139
Fer1l5	43	16
Kcnj15	54	20
Tmem219	65	23
Lrrc15	67	37
Rhox3f	21	8
Rnf141	461	178
Clgn	52	21
Barhl2	273	148
Fcrls	33	13
Gm17124	34	11
Tmem255a	376	173
Cyp11a1	176	70
Il1r2	337	110
Sbk2	101	33
Xkr7	118	47
Ceacam18	47	7
4930591E09Rik	11	2
Cpa4	44	8
Catspere1	26	5
Pcbd2	346	133
Cbx3	411	168
Adgrl3	21	13
Gsdma3	49	7
